,,20~39세,20~39세,20~39세,65세이상,65세이상,65세이상,총합,총합,총합,소멸비율,소멸위기지역
인구수,,남자,여자,합계,남자,여자,합계,남자,여자,합계,,
광역시도,시도,,,,,,,,,,,
인천광역시,연수구,57671,55985,113656,18164,22408,40572,198779,200815,399594,2.75978507344967,False
인천광역시,옹진군,2926,1208,4134,2513,2801,5317,10912,8072,18984,0.4543915741959752,True
인천광역시,중구,21412,18982,40394,9384,11955,21339,73095,68663,141758,1.7790899292375464,False
전라남도,강진군,2596,2078,4674,4613,6846,11466,15507,16434,31941,0.3624629338915053,True
전라남도,고흥군,4120,2891,7011,10098,14751,24853,28758,30115,58873,0.23264797006397617,True
전라남도,곡성군,2469,1894,4363,3783,5826,9609,13177,13604,26781,0.394213757935269,True
전라남도,광양시,19593,15001,34594,8898,11438,20337,75350,68876,144226,1.4752421694448543,False
전라남도,구례군,1615,1354,2969,3489,5294,8784,11325,12218,23543,0.30828779599271405,True
전라남도,나주시,14728,13092,27820,10521,15301,25822,57482,57656,115138,1.014019053520254,False
전라남도,담양군,4545,3498,8043,5685,8096,13783,21830,22204,44034,0.5075818036711891,True
전라남도,목포시,27649,23409,51058,16910,22894,39804,110831,110347,221178,1.1762134458848357,False
전라남도,무안군,12108,10619,22727,7071,9799,16870,45409,44685,90094,1.258921161825726,False
전라남도,보성군,2594,2094,4688,5955,8981,14939,17798,19183,36981,0.28034004953477476,True
전라남도,순천시,35737,31895,67632,19300,25327,44631,136395,137432,273827,1.4292756156035042,False
전라남도,신안군,2965,1577,4542,5596,7489,13085,18099,15901,34000,0.24103935804356133,True
전라남도,여수시,35278,25897,61175,23891,30497,54390,138498,130189,268687,0.9522706379849237,True
전라남도,영광군,4859,3943,8802,5992,8656,14648,24440,24541,48981,0.5383670125614418,True
전라남도,영암군,7887,4670,12557,5572,8137,13710,30212,25786,55998,0.6812545587162655,True
전라남도,완도군,5359,2880,8239,6452,8741,15194,24724,22486,47210,0.37909701197841256,True
전라남도,장성군,4169,3037,7206,5112,7404,12518,20446,20158,40604,0.48522128135484904,True
전라남도,장흥군,2800,2283,5083,4883,7265,12150,16684,17584,34268,0.37580246913580245,True
전라남도,진도군,3340,1743,5083,3965,5738,9703,14970,14043,29013,0.3592703287642997,True
전라남도,함평군,2364,1748,4112,4469,6634,11103,14660,14709,29369,0.3148698549941457,True
전라남도,해남군,5511,4218,9729,8686,12422,21108,31437,31805,63242,0.39965889710062535,True
전라남도,화순군,5765,5047,10812,6603,10177,16781,29088,31048,60136,0.6015136165901913,True
전라북도,고창군,4176,3197,7373,7349,10785,18135,25420,25760,51180,0.35257788806175905,True
전라북도,군산시,35001,28328,63329,22494,28965,51459,136413,131222,267635,1.1009930235721643,False
전라북도,김제시,7819,5699,13518,10433,15122,25559,38721,39277,77998,0.4459485895379318,True
전라북도,남원시,6760,5799,12559,9199,13371,22573,37396,39155,76551,0.513799672174722,True
전라북도,덕진구,48320,44023,92343,20684,26770,47457,163858,164159,328017,1.8552795161936069,False
전라북도,무주군,1647,1380,3027,3195,4516,7713,11011,11294,22305,0.35783741734733565,True
전라북도,부안군,4150,3117,7267,6832,9647,16480,23752,24004,47756,0.3782766990291262,True
전라북도,순창군,1844,1676,3520,3587,5440,9030,12333,13150,25483,0.37120708748615727,True
전라북도,완산구,47153,44444,91597,24614,32510,57124,167393,175001,342394,1.556053497654226,False
전라북도,완주군,12236,9753,21989,9404,12413,21817,48851,46178,95029,0.8940734289774029,True
전라북도,익산시,36717,31064,67781,24275,32472,56747,140166,139984,280150,1.094824396003313,False
전라북도,임실군,2123,1729,3852,3935,5381,9319,12575,12422,24997,0.37106985728082414,True
전라북도,장수군,1557,1276,2833,3023,4179,7202,10071,10264,20335,0.3543460149958345,True
전라북도,전주시,95473,88467,183940,45301,59280,104581,331251,339160,670411,1.6918369493502643,False
전라북도,정읍시,10836,8534,19370,12173,17520,29696,51984,52479,104463,0.5747575431034483,True
전라북도,진안군,1597,1431,3028,3604,4734,8339,11351,11409,22760,0.3432066194987409,True
제주특별자치도,서귀포시,20816,17967,38783,15139,20096,35235,90865,88373,179238,1.0198382290336314,False
제주특별자치도,제주시,67387,61431,128818,31033,41649,72682,247944,245925,493869,1.690404776973666,False
충청남도,계룡시,4566,3943,8509,2397,3057,5454,20614,20801,41415,1.445911257792446,False
충청남도,공주시,12119,11145,23264,12075,15798,27873,52782,54133,106915,0.7996986330857819,True
충청남도,금산군,5393,4648,10041,6743,8967,15712,26146,26290,52436,0.5916496945010183,True
충청남도,논산시,13266,11166,24432,13226,18028,31254,58442,58820,117262,0.7145325398349012,True
충청남도,당진시,24044,16621,40665,14013,17649,31665,91060,78447,169507,1.0498026211905889,False
충청남도,동남구,40100,35975,76075,17262,22128,39390,137117,133719,270836,1.8266057374968265,False
충청남도,보령시,11547,7633,19180,11119,14620,25743,50364,47026,97390,0.5930155770500719,True
충청남도,부여군,5460,4253,9713,9622,12859,22481,30882,31533,62415,0.3783639517815044,True
충청남도,서북구,73557,64486,138043,16268,21049,37321,212623,200429,413052,3.455748774148603,False
충청남도,서산시,24082,17801,41883,14511,18659,33172,92741,84756,177497,1.0732545520318342,False
충청남도,서천군,4448,2861,7309,7965,10900,18866,24936,25076,50012,0.3032969362875013,True
충청남도,아산시,56730,45196,101926,18996,25268,44264,182939,165788,348727,2.042110970540394,False
충청남도,예산군,7880,5549,13429,10493,13622,24118,38853,37637,76490,0.4601542416452442,True
충청남도,천안시,113657,100461,214118,33534,43177,76711,349740,334148,683888,2.6192071541239197,False
충청남도,청양군,2822,2005,4827,4755,6094,10856,15322,14781,30103,0.36938098747236553,True
충청남도,태안군,6400,3912,10312,8418,10693,19115,31042,29243,60285,0.40931205859272823,True
충청남도,홍성군,11998,9991,21989,10254,13800,24057,50955,50663,101618,0.8306106330797689,True
충청북도,괴산군,3958,2687,6645,5676,6996,12675,19435,18091,37526,0.4239842209072978,True
충청북도,단양군,1994,1513,3507,3915,4958,8875,13584,13353,26937,0.3409577464788732,True
충청북도,보은군,2493,1805,4298,4727,6353,11080,15543,15386,30929,0.32581227436823107,True
충청북도,상당구,24427,21855,46282,13123,17167,30292,94232,95379,189611,1.4429552357057969,False
충청북도,서원구,27976,24729,52705,13397,17797,31196,96900,98626,195526,1.5853955635337864,False
충청북도,영동군,4332,3258,7590,6379,8515,14894,22784,22762,45546,0.43749160735866793,True
충청북도,옥천군,4369,3441,7810,6457,8405,14862,24362,24145,48507,0.46306015341138473,True
충청북도,음성군,15847,9412,25259,9052,11055,20107,55530,45336,100866,0.9361913761376635,True
충청북도,제천시,16024,13674,29698,13329,16738,30071,67024,66726,133750,0.9094476405839513,True
충청북도,증평군,5218,4095,9313,2886,3765,6651,18950,17702,36652,1.2313937753721245,False
충청북도,진천군,14906,9992,24898,6158,8086,14248,49328,42451,91779,1.4025828186412128,False
충청북도,청원구,33159,27169,60328,11075,14976,26055,101842,96461,198303,2.085511418153905,False
충청북도,청주시,131520,114005,245525,51348,67566,118914,431607,425316,856923,1.917436130312663,False
충청북도,충주시,30366,22794,53160,18542,24559,43105,109926,105423,215349,1.057603526273054,False
충청북도,흥덕구,45958,40252,86210,13743,17626,31371,138633,134850,273483,2.5661917057154695,False
